NUMBER,OUTTLET_ID,OUTLET_NAME,REG_CODE,TERRITORY,DISTRICT,ROUTE,SALESMAN_ID,SALESMAN_ID,KABUPATEN,KECAMATAN,KELURAHAN,COVERAGE_STATUS,OWNER_NAME,OUTLET_TYPE,TYPE_KAWASAN,TIPE_BANGUNAN,POSISI,UNIT_DISPLAY,TIPE_SHOPBLIND
112,LP010803112,YATNO,LPG,1,8,3,SPV001,TMC008,LAMPUNG SELATAN,PENENGAHAN,KLATEN,Coverage,YATNO,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,MEDIUM
113,LP010803113,YOGA,LPG,1,8,3,SPV001,TMC008,LAMPUNG SELATAN,PENENGAHAN,KLATEN,Coverage,YOGA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
114,LP010803114,YUNAN,LPG,1,8,3,SPV001,TMC008,LAMPUNG SELATAN,PENENGAHAN,KLATEN,Non-Coverage,YUNAN,TOKO,PEMUKIMAN [PMK],Permanen,Sejajar Jalan,OUTLET,MEDIUM
115,LP010804115,ABOY,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,PALEMBAPANG,Coverage,ABOY,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
116,LP010804116,ADEN,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,PALEMBAPANG,Coverage,ADEN,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
117,LP010804117,ADIT,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,PALEMBAPANG,Coverage,ADIT,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
118,LP010804118,AGUS,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,NEGERI PANDAN,Coverage,AGUS,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
119,LP010804119,ALWAN,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,NEGERI PANDAN,Non-Coverage,ALWAN,TOKO,PEMUKIMAN [PMK],Permanen,Sejajar Jalan,OUTLET,SMALL
120,LP010804120,ANDI,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,NEGERI PANDAN,Coverage,ANDI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
121,LP010804121,ANGGA,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,NEGERI PANDAN,Coverage,ANGGA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
122,LP010804122,AWALUDIN,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,PALEMBAPANG,Coverage,AWALUDIN,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
123,LP010804123,ELY,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,PENENGAHAN,KEKILING,Non-Coverage,ELI,TOKO,PEMUKIMAN [PMK],Permanen,Sejajar Jalan,OUTLET,BIG
124,LP010804124,faisal,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,SUKARATU,Coverage,faisal,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
125,LP010804125,FAJAR,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,NEGERI PANDAN,Coverage,FAJAR,TOKO,PEMUKIMAN [PMK],Semi-Permanen,SEJAJAR JALAN,OUTLET,BIG
126,LP010804126,FATIMAH,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,NEGERI PANDAN,Coverage,FATIMAH,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
127,LP010804127,FAUZI,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,NEGERI PANDAN,Coverage,FAUZI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,KOMPETITOR & OUTLET,BIG
128,LP010804128,FURQON,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,PALEMBAPANG,Coverage,FURQON,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,BELUM ADA,BIG
129,LP010804129,HADI,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,NEGERI PANDAN,Coverage,HADI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,MEDIUM
130,LP010804130,HERI,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,PENENGAHAN,KEKILING,Coverage,HERI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
131,LP010804131,JUMIRI,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,PENENGAHAN,KEKILING,Coverage,JUMIRI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
132,LP010804132,JUNAIDI,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,NEGERI PANDAN,Coverage,JUNAIDI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
133,LP010804133,LEKOK,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,NEGERI PANDAN,Non-Coverage,reki,TOKO,PEMUKIMAN [PMK],Permanen,Sejajar Jalan,BELUM ADA,BIG
134,LP010804134,MAULANA,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,PENENGAHAN,KEKILING,Coverage,RANGGA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
135,LP010804135,MUR,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,PALEMBAPANG,Coverage,MUR,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,BELUM ADA,MEDIUM
136,LP010804136,NABILA,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,PALEMBAPANG,Coverage,NABILA,TOKO BESAR,PEMUKIMAN [PMK],Permanen,PEREMPATAN,KOMPETITOR & OUTLET,BIG
137,LP010804137,NUR,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,PALEMBAPANG,Coverage,NUR,TOKO,PEMUKIMAN [PMK],Semi-Permanen,SEJAJAR JALAN,KOMPETITOR & OUTLET,BIG
138,LP010804138,PUTRI,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,PENENGAHAN,KEKILING,Non-Coverage,PUTRI,TOKO,PEMUKIMAN [PMK],Permanen,Sejajar Jalan,OUTLET,MEDIUM
139,LP010804139,reza,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,NEGERI PANDAN,Coverage,reza,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,MEDIUM
140,LP010804140,RIA,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,NEGERI PANDAN,Coverage,RIA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,KOMPETITOR,BIG
141,LP010804141,RUSTAM,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,PALEMBAPANG,Coverage,RUSTAM,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,KOMPETITOR & OUTLET,BIG
142,LP010804142,SAHDAN,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,NEGERI PANDAN,Coverage,SAHDAN,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,MEDIUM
143,LP010804143,SALSA,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,PALEMBAPANG,Coverage,SALSA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
144,LP010804144,SAMSUDIN,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,NEGERI PANDAN,Coverage,SAMSUDIN,TOKO,PEMUKIMAN [PMK],Permanen,TUSUK SATE,PERUSAHAAN,MEDIUM
145,LP010804145,sinta,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,NEGERI PANDAN,Coverage,sinta,TOKO,PEMUKIMAN [PMK],Semi-Permanen,SEJAJAR JALAN,BELUM ADA,SMALL
146,LP010804146,sulaiman,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,PALEMBAPANG,Coverage,sulaiman,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
147,LP010804147,SURYATI,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,PENENGAHAN,KEKILING,Coverage,SURYATI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
148,LP010804148,TAMA,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,NEGERI PANDAN,Coverage,TAMA,TOKO,PEMUKIMAN [PMK],Semi-Permanen,SEJAJAR JALAN,OUTLET,MEDIUM
149,LP010804149,TIGA PUTRI,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,PALEMBAPANG,Coverage,TIGA PUTRI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
150,LP010804150,TOKO BARU,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,SUKARATU,Coverage,TOKO BARU,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
151,LP010804151,YAKUB,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,PENENGAHAN,KEKILING,Coverage,YAKUB,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,BELUM ADA,BIG
152,LP010804152,YANTI,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,NEGERI PANDAN,Coverage,YANTI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
153,LP010804153,yuli,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,NEGERI PANDAN,Coverage,yuli,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
154,LP010804154,YULI,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,PALEMBAPANG,Coverage,YULI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
155,LP010804155,YUNI,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,PENENGAHAN,KEKILING,Coverage,YUNI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
156,LP010804156,YUSUF,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,SUKARATU,Coverage,YUSUF,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
157,LP010804157,ZAHRA 2,LPG,1,8,4,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,PALEMBAPANG,Coverage,ZAHRA 2,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
158,LP010805158,AMEL,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,BABULANG,Coverage,AMEL,TOKO,PEMUKIMAN [PMK],Semi-Permanen,SEJAJAR JALAN,OUTLET,BIG
159,LP010805159,AMINAH,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,KESUGIHAN,Coverage,AMINAH,TOKO,PEMUKIMAN [PMK],Permanen,PEREMPATAN,OUTLET,BIG
160,LP010805160,AMRI,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,KESUGIHAN,Coverage,AMRI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
161,LP010805161,ANI,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,BABULANG,Coverage,ASNI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
162,LP010805162,ANISA,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,BABULANG,Coverage,ANISA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
163,LP010805163,ANISSA,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,SUKARATU,Coverage,ANISSA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
164,LP010805164,ARIF,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,SUKARATU,Coverage,ARIF,TOKO,PEMUKIMAN [PMK],Semi-Permanen,SEJAJAR JALAN,BELUM ADA,BIG
165,LP010805165,BAHAR,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,BABULANG,Coverage,BAHAR,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,MEDIUM
166,LP010805166,DAFFA,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,SUKARATU,Coverage,DAFFA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
167,LP010805167,DAVI,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,BUAH BERAK,Coverage,DAVI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
168,LP010805168,DEA,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,KESUGIHAN,Coverage,DEA,TOKO,PEMUKIMAN [PMK],Semi-Permanen,SEJAJAR JALAN,BELUM ADA,SMALL
169,LP010805169,DEWI,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,SUKARATU,Coverage,DEWI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,MEDIUM
170,LP010805170,ELSA,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,KESUGIHAN,Coverage,ELSA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
171,LP010805171,ENI,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,SUKARATU,Coverage,PUTRI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
172,LP010805172,faza,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,BABULANG,Coverage,faza,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
173,LP010805173,HENDRIK,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,SUKARATU,Coverage,HENDRIK,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
174,LP010805174,IBU NUR,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,KESUGIHAN,Coverage,IBU NUR,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
175,LP010805175,ICHA,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,BABULANG,Coverage,ICHA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
176,LP010805176,IDA,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,PEMATANG,Coverage,IDA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
177,LP010805177,IRHAM,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,SUKARATU,Non-Coverage,UMI,TOKO,PEMUKIMAN [PMK],Permanen,Sejajar Jalan,BELUM ADA,SMALL
178,LP010805178,JONI,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,KESUGIHAN,Non-Coverage,JONI,TOKO,PEMUKIMAN [PMK],Permanen,Sejajar Jalan,OUTLET,BIG
179,LP010805179,JUNAIDI,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,KESUGIHAN,Coverage,JUNAIDI,TOKO,PEMUKIMAN [PMK],Semi-Permanen,SEJAJAR JALAN,BELUM ADA,SMALL
180,LP010805180,KAYLA,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,BUAH BERAK,Coverage,KAAILA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
181,LP010805181,KEISYA,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,BUAH BERAK,Non-Coverage,KEISYA,TOKO,PEMUKIMAN [PMK],Semi-Permanen,Sejajar Jalan,BELUM ADA,SMALL
182,LP010805182,LINDA,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,BUAH BERAK,Non-Coverage,LINDA,TOKO,PEMUKIMAN [PMK],Permanen,Sejajar Jalan,KOMPETITOR & OUTLET,BIG
183,LP010805183,MAIMUNAH,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,KESUGIHAN,Coverage,MAIMUNAH,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,MEDIUM
184,LP010805184,NAILA,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,SUKARATU,Coverage,NAILA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
185,LP010805185,OKTA,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,KECAPI,Non-Coverage,OKTA,TOKO,PEMUKIMAN [PMK],Semi-Permanen,Sejajar Jalan,BELUM ADA,BIG
186,LP010805186,OZA,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,PEMATANG,Coverage,OZA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
187,LP010805187,RAHMA,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,KESUGIHAN,Coverage,RAHMA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
188,LP010805188,REZA. 1,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,BABULANG,Coverage,REZA CELL 1,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,KOMPETITOR,BIG
189,LP010805189,REZA. 2,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,KECAPI,Coverage,REZA CELL,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
190,LP010805190,riski,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,BABULANG,Coverage,riski,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
191,LP010805191,ROBIAH,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,BUAH BERAK,Coverage,ROBIAH,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
192,LP010805192,SELLA,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,BABULANG,Coverage,sELA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
193,LP010805193,SUNDARI,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,SUKARATU,Coverage,SUNDARI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,MEDIUM
194,LP010805194,UMAR,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,KECAPI,Non-Coverage,UMAR,TOKO,PEMUKIMAN [PMK],Semi-Permanen,Sejajar Jalan,OUTLET,BIG
195,LP010805195,WAHANA,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,KESUGIHAN,Coverage,WAHANA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
196,LP010805196,YITNO,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,SUKARATU,Non-Coverage,YITNO,TOKO,PEMUKIMAN [PMK],Permanen,PEREMPATAN,BELUM ADA,BIG
197,LP010805197,YULI,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,KECAPI,Non-Coverage,YULI,TOKO,PEMUKIMAN [PMK],Permanen,Sejajar Jalan,OUTLET,BIG
198,LP010805198,YULI,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,SUKARATU,Coverage,YULI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
199,LP010805199,YULIANA,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,KECAPI,Non-Coverage,YULIANA,TOKO,PEMUKIMAN [PMK],Permanen,Sejajar Jalan,OUTLET,MEDIUM
200,LP010805200,ZASKIA,LPG,1,8,5,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,BABULANG,Coverage,ZASKIA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
201,LP010806201,AAN,LPG,1,8,6,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,SUKARATU,Coverage,AAN,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
202,LP010806202,ABI,LPG,1,8,6,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,NEGERI PANDAN,Coverage,ABI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
203,LP010806203,AGUS,LPG,1,8,6,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,NEGERI PANDAN,Coverage,AGUS,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
204,LP010806204,HERLY,LPG,1,8,6,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,SUKARATU,Coverage,HERLY,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,MEDIUM
205,LP010806205,IRMA,LPG,1,8,6,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,TAJIMALELA,Coverage,IRMA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,KOMPETITOR & OUTLET,BIG
206,LP010806206,NENEK ALIP,LPG,1,8,6,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,TAJIMALELA,Coverage,NENEK ALIP,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
207,LP010806207,PUTRI,LPG,1,8,6,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,TAJIMALELA,Coverage,PUTRI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
208,LP010806208,RISKI,LPG,1,8,6,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,TAJIMALELA,Coverage,RISKI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,KOMPETITOR & OUTLET,BIG
209,LP010806209,ROVA,LPG,1,8,6,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,TAJIMALELA,Coverage,ROVA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,KOMPETITOR & OUTLET,BIG
210,LP010806210,SARIFUDIN,LPG,1,8,6,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,NEGERI PANDAN,Coverage,SARIFUDIN,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
211,LP010806211,SISKA,LPG,1,8,6,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,TAJIMALELA,Coverage,SISKA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
212,LP010806212,SUCI,LPG,1,8,6,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,NEGERI PANDAN,Coverage,SUCI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
213,LP010806213,TOPIK,LPG,1,8,6,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,TAJIMALELA,Coverage,TOPIK,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
214,LP010806214,VIKA,LPG,1,8,6,SPV001,TMC008,LAMPUNG SELATAN,KALIANDA,NEGERI PANDAN,Coverage,VIKA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,SMALL
1,LP010901001,ALIF,LPG,1,9,1,SPV001,TMC009,LAMPUNG SELATAN,RAJABASA,SUKARAJA,Coverage,ALIF,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
2,LP010901002,AMINAH,LPG,1,9,1,SPV001,TMC009,LAMPUNG SELATAN,RAJABASA,RAJABASA,Non-Coverage,AMINAH,TOKO,PEMUKIMAN [PMK],Permanen,Sejajar Jalan,OUTLET,BIG
3,LP010901003,ASKAR,LPG,1,9,1,SPV001,TMC009,LAMPUNG SELATAN,RAJABASA,BANDING,Non-Coverage,ASKAR,KIOS,PEMUKIMAN [PMK],Permanen,Sejajar Jalan,OUTLET,BIG
4,LP010901004,AYU,LPG,1,9,1,SPV001,TMC009,LAMPUNG SELATAN,RAJABASA,RAJABASA,Coverage,AYU,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
5,LP010901005,CIKA,LPG,1,9,1,SPV001,TMC009,LAMPUNG SELATAN,RAJABASA,BANDING,Coverage,CIKA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
6,LP010901006,CINDY,LPG,1,9,1,SPV001,TMC009,LAMPUNG SELATAN,RAJABASA,SUKARAJA,Coverage,CINDY,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
7,LP010901007,DESI,LPG,1,9,1,SPV001,TMC009,LAMPUNG SELATAN,RAJABASA,SUKARAJA,Coverage,LALA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
8,LP010901008,EDI,LPG,1,9,1,SPV001,TMC009,LAMPUNG SELATAN,RAJABASA,BANDING,Coverage,EDI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
9,LP010901009,ENI,LPG,1,9,1,SPV001,TMC009,LAMPUNG SELATAN,RAJABASA,BANDING,Coverage,ENI,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
10,LP010901010,FAREL,LPG,1,9,1,SPV001,TMC009,LAMPUNG SELATAN,RAJABASA,BANDING,Coverage,FAREL,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
11,LP010901011,HAFIDZ,LPG,1,9,1,SPV001,TMC009,LAMPUNG SELATAN,RAJABASA,SUKARAJA,Coverage,ERIKA,TOKO,PEMUKIMAN [PMK],Permanen,SEJAJAR JALAN,OUTLET,BIG
